essere	3	29	0.011352251879838775	21680829
avere	6	26	0.0025351619912412538	4841719
fare	7	37	0.002336833481695693	4462946
dire	5	12	0.0014343676311393437	2739393
andare	4	18	0.0009824223374050312	1876256
dare	6	15	0.0009392555840845843	1793815
stare	5	15	0.0007774790901112963	1484850
sapere	8	7	0.000742818346030071	1418654
trovare	2	10	0.0006964204087751683	1330042
vedere	4	13	0.0006933295517398268	1324139
mettere	5	9	0.000521755831612333	996463
scrivere	1	8	0.000510063668712252	974133
presentare	2	7	0.00047764710780119006	912223
parlare	1	4	0.0004759480003846758	908978
pensare	9	12	0.00047273671354785554	902845
prendere	6	23	0.00046556590428154974	889150
chiedere	2	7	0.0004429481403481911	845954
tenere	2	8	0.0004216744777209009	805325
portare	10	17	0.00041714317553830793	796671
rendere	2	11	0.00038161952574909636	728827
sembrare	1	7	0.0003762661592694534	718603
volere	4	6	0.0003712437129399605	709011
venire	7	8	0.00036010290908751875	687734
trattare	1	12	0.0003562962801451279	680464
cercare	3	6	0.0003557307836860107	679384
arrivare	4	5	0.00034942183291202607	667335
sentire	9	9	0.0003431092168832139	655279
svolgere	1	5	0.00033619497545484087	642074
credere	1	7	0.00033307008391038573	636106
inviare	1	3	0.0003325328622742244	635080
ricordare	2	7	0.0003299451923659306	630138
riguardare	1	4	0.0003298012002119887	629863
riuscire	3	3	0.0003250709270530397	620829
lasciare	6	17	0.0003222109810718376	615367
considerare	5	7	0.00032067209765207326	612428
passare	8	10	0.00030864116048435444	589451
ritenere	2	6	0.00030499318471521587	582484
seguire	4	13	0.0003017604299572625	576310
diventare	1	3	0.0002994748817683304	571945
leggere	3	4	0.00029514150334642846	563669
vivere	10	5	0.0002853809297404988	545028
costituire	4	7	0.0002848819314761111	544075
conoscere	4	5	0.0002815617342101275	537734
realizzare	4	8	0.0002804365009780507	535585
usare	4	3	0.00027911386759311546	533059
tornare	6	3	0.00027201165095286925	519495
capire	6	3	0.0002693014568117667	514319
rappresentare	6	8	0.000256649520754684	490156
creare	5	6	0.0002556777046175344	488300
continuare	3	3	0.00025400111233781837	485098
chiamare	2	9	0.00025352148756323375	484182
definire	2	4	0.000250375651705478	478174
prevedere	1	2	0.0002502604579823245	477954
esistere	3	1	0.0002494431061557671	476393
porre	5	6	0.000248945678714877	475443
proporre	1	2	0.00024676851734727566	471285
rispondere	1	4	0.00024214558379399243	462456
nascere	4	7	0.0002389259192318519	456307
esprimere	2	3	0.0002364424472822288	451564
aprire	3	14	0.00023368198678920473	446292
intendere	4	6	0.00023165038839904287	442412
effettuare	1	2	0.00022716830535270642	433852
richiedere	2	9	0.00022693634708290184	433409
restare	6	5	0.00022627293595910416	432142
permettere	1	6	0.0002261959656077243	431995
offrire	5	7	0.00022561894977629176	430893
risultare	2	4	0.00022525032986220052	430189
ottenere	2	7	0.00022380988471494917	427438
entrare	1	4	0.00022169765071857985	423404
contenere	1	7	0.00022077086485502664	421634
aggiungere	4	3	0.00021985036228546362	419876
decidere	2	6	0.00021544996206099965	411472
inserire	2	4	0.0002122590959296475	405378
rimanere	3	6	0.000212029232091173	404939
fornire	1	6	0.00021129618112565067	403539
indicare	1	7	0.00021051705267086695	402051
partire	4	2	0.00020999135040702095	401047
guardare	2	7	0.0002073518433233081	396006
comprendere	4	9	0.00020690625305783703	395155
potere	3	2	0.00020562760273083307	392713
approvare	1	4	0.0002031252808992394	387934
stabilire	2	9	0.00020224352530928255	386250
dovere	4	3	0.0002005606497355763	383036
sostenere	3	13	0.00019947730513010083	380967
assumere	4	8	0.0001972362636069326	376687
pubblicare	2	1	0.00019627125437160573	374844
lavorare	1	9	0.00019617124527559517	374653
raggiungere	2	5	0.0001960445321801263	374411
iniziare	1	9	0.0001960110212788453	374347
riconoscere	3	5	0.0001942893987255329	371059
produrre	2	11	0.0001858326086225679	354908
spiegare	2	9	0.00018565144031251738	354562
garantire	6	3	0.00018538440031793426	354052
partecipare	3	2	0.00018498384032605955	353287
perdere	4	10	0.00018411046246142297	351619
cambiare	6	8	0.00018360675172654264	350657
servire	6	7	0.0001829883708763413	349476
uscire	1	7	0.00018170291364751466	347021
disporre	3	3	0.00018163903349194773	346899
scegliere	3	3	0.00017908749252409754	342026
cominciare	1	4	0.00017876285566793766	341406
dedicare	1	3	0.0001772176889541831	338455
finire	2	9	0.00017366815145755755	331676
dichiarare	2	5	0.00017281781233755166	330052
applicare	6	1	0.0001715878575389717	327703
ricevere	6	9	0.0001703228210156132	325287
organizzare	2	4	0.00016936252425077896	323453
adottare	3	2	0.00016592608604597682	316890
bastare	8	-1	0.00016338187558778187	312031
registrare	9	3	0.00016166601272062713	308754
apparire	4	3	0.00015959043127253392	304790
dimostrare	3	5	0.00015750123602079532	300800
affermare	3	7	0.00015533245237851428	296658
determinare	4	5	0.0001535495677087975	293253
provare	4	10	0.00015306575407155278	292329
morire	4	4	0.0001512404571674022	288843
riportare	5	5	0.0001508168584308968	288034
individuare	1	5	0.0001504032082432092	287244
costruire	4	5	0.00014959371053413956	285698
destinare	4	-1	0.00014951098049660204	285540
rivolgere	2	1	0.00014634681836470822	279497
evitare	2	9	0.000146274560483821	279359
modificare	1	3	0.0001450131892152901	276950
riferire	3	3	0.0001446419512620363	276241
promuovere	5	2	0.00014372720837863096	274494
intervenire	1	4	0.00014306432086266577	273228
amare	4	4	0.00014208622143152598	271360
operare	3	3	0.00014027401472318832	267899
ridurre	3	8	0.00013878958651800563	265064
assicurare	4	7	0.0001387759727143602	265038
affrontare	8	7	0.00013865344848155149	264804
