mode	onto	pos	correlation		p-value
jdist	wnet	ADJ	0.34084045786995143	1.0791767749197881e-12
jdist	wikt	ADJ	0.21327739131668227	1.2335567293108559e-05
jdist	wnet	NOUN	0.33337582994423903	2.2446911361843216e-36
jdist	wnet	VER	0.3107558213091819	1.0076839971457235e-12
jdist	wnet	TOT	0.3160870481207096	4.632741544564935e-55
lrsum	wnet	ADJ	0.21840722535401708	7.488892355790778e-06
lrsum	wnet	NOUN	0.2598109549538402	2.9931591635794956e-22
lrsum	wnet	VER	0.2277209931023214	2.4364267230354737e-07
lrsum	wnet	TOT	0.24471276390782135	5.0628769324166814e-33
pareto	wnet	ADJ	0.2825044050303466	5.120361415939942e-09
pareto	wnet	NOUN	0.25788622425083435	6.189767431069952e-22
pareto	wnet	VER	0.2963811416734926	1.1721601796628976e-11
pareto	wnet	TOT	0.25690338687195013	2.480731595630525e-36
